1F380,ribbon,165: :ribbon:
1F381,gift,166: :gift:
1F382,birthday,167: :birthday:
1F383,jack_o_lantern,168: :jack_o_lantern:
1F384,christmas_tree,169: :christmas_tree:
1F385,santa,170: :santa:
1F386,fireworks,171: :fireworks:
1F387,sparkler,172: :sparkler:
1F388,balloon,173: :balloon:
1F389,tada,174: :tada:
1F38A,confetti_ball,175: :confetti_ball:
1F38B,tanabata_tree,176: :tanabata_tree:
1F38C,crossed_flags,177: :crossed_flags:
1F38D,bamboo,178: :bamboo:
1F38E,dolls,179: :dolls:
1F38F,flags,180: :flags:
1F390,wind_chime,181: :wind_chime:
1F391,rice_scene,182: :rice_scene:
1F392,school_satchel,183: :school_satchel:
1F393,mortar_board,184: :mortar_board:
1F3A0,carousel_horse,185: :carousel_horse:
1F3A1,ferris_wheel,186: :ferris_wheel:
1F3A2,roller_coaster,187: :roller_coaster:
1F3A3,fishing_pole_and_fish,188: :fishing_pole_and_fish:
1F3A4,microphone,189: :microphone:
1F3A5,movie_camera,190: :movie_camera:
1F3A6,cinema,191: :cinema:
1F3A7,headphones,192: :headphones:
1F3A8,art,193: :art:
1F3A9,tophat,194: :tophat:
1F3AA,circus_tent,195: :circus_tent:
1F3AB,ticket,196: :ticket:
1F3AC,clapper,197: :clapper:
1F3AD,performing_arts,198: :performing_arts:
1F3AE,video_game,199: :video_game:
1F3AF,dart,200: :dart:
1F3B0,slot_machine,201: :slot_machine:
1F3B1,8ball,202: :8ball:
1F3B2,game_die,203: :game_die:
1F3B3,bowling,204: :bowling:
1F3B4,flower_playing_cards,205: :flower_playing_cards:
1F3B5,musical_note,206: :musical_note:
1F3B6,notes,207: :notes:
1F3B7,saxophone,208: :saxophone:
1F3B8,guitar,209: :guitar:
1F3B9,musical_keyboard,210: :musical_keyboard:
1F3BA,trumpet,211: :trumpet:
1F3BB,violin,212: :violin:
1F3BC,musical_score,213: :musical_score:
1F3BD,running_shirt_with_sash,214: :running_shirt_with_sash:
1F3BE,tennis,215: :tennis:
1F3BF,ski,216: :ski:
1F3C0,basketball,217: :basketball:
1F3C1,checkered_flag,218: :checkered_flag:
1F3C2,snowboarder,219: :snowboarder:
1F3C3,runner/running,220: :runner/running:
1F3C4,surfer,221: :surfer:
1F3C6,trophy,222: :trophy:
1F3C7,horse_racing,223: :horse_racing:
1F3C8,football,224: :football:
1F3C9,rugby_football,225: :rugby_football:
1F3CA,swimmer,226: :swimmer:
1F3E0,house,227: :house:
1F3E1,house_with_garden,228: :house_with_garden:
1F3E2,office,229: :office:
1F3E3,post_office,230: :post_office:
1F3E4,european_post_office,231: :european_post_office:
1F3E5,hospital,232: :hospital:
1F3E6,bank,233: :bank:
1F3E7,atm,234: :atm:
1F3E8,hotel,235: :hotel:
1F3E9,love_hotel,236: :love_hotel:
1F3EA,convenience_store,237: :convenience_store:
1F3EB,school,238: :school:
1F3EC,department_store,239: :department_store:
1F3ED,factory,240: :factory:
1F3EE,izakaya_lantern/lantern,241: :izakaya_lantern/lantern:
1F3EF,japanese_castle,242: :japanese_castle:
1F3F0,european_castle,243: :european_castle:
1F400,rat,244: :rat:
1F401,mouse2,245: :mouse2:
1F402,ox,246: :ox:
1F403,water_buffalo,247: :water_buffalo:
1F404,cow2,248: :cow2:
1F405,tiger2,249: :tiger2:
1F406,leopard,250: :leopard:
1F407,rabbit2,251: :rabbit2:
1F408,cat2,252: :cat2:
1F409,dragon,253: :dragon:
1F40A,crocodile,254: :crocodile:
1F40B,whale2,255: :whale2:
1F40C,snail,256: :snail:
1F40D,snake,257: :snake:
1F40E,racehorse,258: :racehorse:
1F40F,ram,259: :ram:
1F410,goat,260: :goat:
1F411,sheep,261: :sheep:
1F412,monkey,262: :monkey:
1F413,rooster,263: :rooster:
1F414,chicken,264: :chicken:
