2611,2611-fe0f,ballot box with check,:ballot_box_with_check:,,23,0,49: :ballot_box_with_check: | ,49: :ballot_box_with_check:,49: 
2614,2614,umbrella with rain drops,:umbrella:,,10,0,50: :umbrella: | ,50: :umbrella:,50: 
2615,2615,hot beverage,:coffee:,,8,0,51: :coffee: | ,51: :coffee:,51: 
261d,261d-fe0f,index pointing up,:point_up:,,10,0,52: :point_up: | ,52: :point_up:,52: 
263a,263a-fe0f,smiling face,:relaxed:,,9,0,53: :relaxed: | ,53: :relaxed:,53: 
2648,2648,Aries,:aries:,,7,0,54: :aries: | ,54: :aries:,54: 
1f947,1f947,1st place medal,:first_place:,:first_place_medal:,13,19,55: :first_place: | :first_place_medal:,55: :first_place:,55: :first_place_medal:
2649,2649,Taurus,:taurus:,,8,0,56: :taurus: | ,56: :taurus:,56: 
1f93a,1f93a,person fencing,:person_fencing:,:fencer:|:fencing:,16,18,57: :person_fencing: | :fencer:|:fencing:,57: :person_fencing:,57: :fencer:|:fencing:
264a,264a,Gemini,:gemini:,,8,0,58: :gemini: | ,58: :gemini:,58: 
264b,264b,Cancer,:cancer:,,8,0,59: :cancer: | ,59: :cancer:,59: 
1f945,1f945,goal net,:goal:,:goal_net:,6,10,60: :goal: | :goal_net:,60: :goal:,60: :goal_net:
264c,264c,Leo,:leo:,,5,0,61: :leo: | ,61: :leo:,61: 
002a,002a-fe0f,asterisk,:asterisk_symbol:,,17,0,62: :asterisk_symbol: | ,62: :asterisk_symbol:,62: 
264d,264d,Virgo,:virgo:,,7,0,63: :virgo: | ,63: :virgo:,63: 
1f93e,1f93e,person playing handball,:person_playing_handball:,:handball:,25,10,64: :person_playing_handball: | :handball:,64: :person_playing_handball:,64: :handball:
264e,264e,Libra,:libra:,,7,0,65: :libra: | ,65: :libra:,65: 
1f1ff,1f1ff,regional indicator symbol letter z,:regional_indicator_z:,,22,0,66: :regional_indicator_z: | ,66: :regional_indicator_z:,66: 
1f93d,1f93d,person playing water polo,:person_playing_water_polo:,:water_polo:,27,12,67: :person_playing_water_polo: | :water_polo:,67: :person_playing_water_polo:,67: :water_polo:
264f,264f,Scorpius,:scorpius:,,10,0,68: :scorpius: | ,68: :scorpius:,68: 
2650,2650,Sagittarius,:sagittarius:,,13,0,69: :sagittarius: | ,69: :sagittarius:,69: 
1f94b,1f94b,martial arts uniform,:martial_arts_uniform:,:karate_uniform:,22,16,70: :martial_arts_uniform: | :karate_uniform:,70: :martial_arts_uniform:,70: :karate_uniform:
2651,2651,Capricorn,:capricorn:,,11,0,71: :capricorn: | ,71: :capricorn:,71: 
1f94a,1f94a,boxing glove,:boxing_glove:,:boxing_gloves:,14,15,72: :boxing_glove: | :boxing_gloves:,72: :boxing_glove:,72: :boxing_gloves:
2652,2652,Aquarius,:aquarius:,,10,0,73: :aquarius: | ,73: :aquarius:,73: 
1f93c,1f93c,people wrestling,:people_wrestling:,:wrestlers:|:wrestling:,18,23,74: :people_wrestling: | :wrestlers:|:wrestling:,74: :people_wrestling:,74: :wrestlers:|:wrestling:
2653,2653,Pisces,:pisces:,,8,0,75: :pisces: | ,75: :pisces:,75: 
2660,2660-fe0f,spade suit,:spades:,,8,0,76: :spades: | ,76: :spades:,76: 
2663,2663-fe0f,club suit,:clubs:,,7,0,77: :clubs: | ,77: :clubs:,77: 
2665,2665-fe0f,heart suit,:hearts:,,8,0,78: :hearts: | ,78: :hearts:,78: 
2666,2666-fe0f,diamond suit,:diamonds:,,10,0,79: :diamonds: | ,79: :diamonds:,79: 
2668,2668-fe0f,hot springs,:hotsprings:,,12,0,80: :hotsprings: | ,80: :hotsprings:,80: 
267b,267b-fe0f,recycling symbol,:recycle:,,9,0,81: :recycle: | ,81: :recycle:,81: 
1f939,1f939,person juggling,:person_juggling:,:juggling:|:juggler:,17,20,82: :person_juggling: | :juggling:|:juggler:,82: :person_juggling:,82: :juggling:|:juggler:
267f,267f,wheelchair symbol,:wheelchair:,,12,0,83: :wheelchair: | ,83: :wheelchair:,83: 
2693,2693,anchor,:anchor:,,8,0,84: :anchor: | ,84: :anchor:,84: 
26a0,26a0-fe0f,warning,:warning:,,9,0,85: :warning: | ,85: :warning:,85: 
26a1,26a1,high voltage,:zap:,,5,0,86: :zap: | ,86: :zap:,86: 
26aa,26aa,white circle,:white_circle:,,14,0,87: :white_circle: | ,87: :white_circle:,87: 
26ab,26ab,black circle,:black_circle:,,14,0,88: :black_circle: | ,88: :black_circle:,88: 
26bd,26bd,soccer ball,:soccer:,,8,0,89: :soccer: | ,89: :soccer:,89: 
26be,26be,baseball,:baseball:,,10,0,90: :baseball: | ,90: :baseball:,90: 
26c4,26c4,snowman without snow,:snowman:,,9,0,91: :snowman: | ,91: :snowman:,91: 
26c5,26c5,sun behind cloud,:partly_sunny:,,14,0,92: :partly_sunny: | ,92: :partly_sunny:,92: 
26ce,26ce,Ophiuchus,:ophiuchus:,,11,0,93: :ophiuchus: | ,93: :ophiuchus:,93: 
1f938,1f938,person cartwheeling,:person_doing_cartwheel:,:cartwheel:,24,11,94: :person_doing_cartwheel: | :cartwheel:,94: :person_doing_cartwheel:,94: :cartwheel:
26d4,26d4,no entry,:no_entry:,,10,0,95: :no_entry: | ,95: :no_entry:,95: 
26ea,26ea,church,:church:,,8,0,96: :church: | ,96: :church:,96: 
26f2,26f2,fountain,:fountain:,,10,0,97: :fountain: | ,97: :fountain:,97: 
1f6f6,1f6f6,canoe,:canoe:,:kayak:,7,7,98: :canoe: | :kayak:,98: :canoe:,98: :kayak:
