emoji,description,aliases/0,aliases/1,aliases/2,1: :aliases/0: | :aliases/1: | :aliases/2:,tags/0,tags/1,tags/2,tags/3,emoticons/0,emoticons/1,emoticons/2,emoticons/3,emoticons/4,emoticons/5,emoticons/6,emoticons/7,emoticons/8,emoticons/9,emoticons/10,emoticons/11,emoticons/12,emoticons/13,emoticons/14,emoticons/15,emoticons/16,emoticons/17,emoticons/18,emoticons/19,emoticons/20,emoticons/21,emoticons/22,emoticons/23,emoticons/24,emoticons/25,emoticons/26,emoticons/27,emoticons/28,emoticons/29,emoticons/30,emoticons/31,emoticons/32,emoticons/33,emoticons/34,emoticons/35
😰,face with open mouth and cold sweat,cold_sweat,,,28: :cold_sweat: | :: | ::,nervous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😅,smiling face with open mouth and cold sweat,sweat_smile,,,29: :sweat_smile: | :: | ::,hot,,,,",:)",",:]",",:D",",:-)",",:-]",",:-D",",=)",",=]",",=D",",=-)",",=-]",",=-D",:),:],:D,:-),:-],:-D,=),=],=D,=-),=-],=-D,,,,,,,,,,,,
😓,face with cold sweat,sweat,,,30: :sweat: | :: | ::,,,,,",:(",",:[",",:-(",",:-[",",=(",",=[",",=-(",",=-[",:(,:[,:-(,:-[,=(,=[,=-(,=-[,,,,,,,,,,,,,,,,,,,,
😩,weary face,weary,,,31: :weary: | :: | ::,tired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😫,tired face,tired_face,,,32: :tired_face: | :: | ::,upset,whine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😨,fearful face,fearful,,,33: :fearful: | :: | ::,scared,shocked,oops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😱,face screaming in fear,scream,,,34: :scream: | :: | ::,horror,shocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😠,angry face,angry,,,35: :angry: | :: | ::,mad,annoyed,,,>:(,>:[,>:-(,>:-[,>=(,>=[,>=-(,>=-[,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😡,pouting face,rage,pout,,36: :rage: | :pout: | ::,angry,,,,:@,:-@,=@,=-@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😤,face with look of triumph,triumph,,,37: :triumph: | :: | ::,smug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
